STATE,SA2NAME,Mean,Lowest quintile,Second quintile,Third quintile,Fourth quintile,Highest quintile,Median,AusRanking,StateRanking
VIC,French Island,,,,,,,,#N/A,#N/A
VIC,Korumburra,6172,1394,3744,5483,7522,12710,5471,1226,346
VIC,Leongatha,6759,1811,4239,6022,8182,13538,6011,1440,378
VIC,Phillip Island,3434,501,1339,2378,4118,8833,2347,7,3
VIC,Wilsons Promontory,,,,,,,,#N/A,#N/A
VIC,Wonthaggi - Inverloch,4896,789,2383,4053,6126,11128,4043,483,210
VIC,Churchill,6118,1440,3459,5283,7552,12850,5271,1130,336
VIC,Moe - Newborough,4317,1062,2419,3624,5177,9301,3610,264,136
VIC,Morwell,3751,927,2079,3125,4539,8087,3096,63,35
VIC,Traralgon,4221,1145,2361,3506,4957,9136,3500,208,106
VIC,Yallourn North - Glengarry,6960,2235,4797,6523,8451,12755,6533,1633,401
VIC,Alps - West,9957,897,4611,8569,12119,22934,8300,1912,426
VIC,Longford - Loch Sport,3035,150,689,1607,3785,8935,1553,2,1
VIC,Maffra,5318,1011,2671,4410,6576,11915,4396,687,263
VIC,Rosedale,6163,1098,3194,5129,7461,13917,5170,1080,332
VIC,Sale,3846,992,2059,3084,4449,8645,3080,58,32
VIC,Yarram,5299,724,2764,4629,6662,11708,4638,819,298
VIC,Ararat,4761,1191,2620,3973,5735,10278,3926,435,196
VIC,Ararat Region,6674,1102,3760,5749,8037,14654,5734,1332,364
VIC,Horsham,5697,1705,3481,4916,6769,11614,4896,946,315
VIC,Horsham Region,6662,1086,3840,5962,8338,13957,5978,1430,376
VIC,Nhill Region,6645,1410,4195,6065,8302,13247,6033,1452,381
VIC,St Arnaud,6257,1286,3766,5635,7663,12846,5670,1306,360
VIC,Stawell,5326,1226,3033,4589,6631,11137,4569,788,294
VIC,West Wimmera,6385,1049,3875,5801,7994,13183,5787,1356,370
VIC,Yarriambiack,6988,1611,4337,6222,8473,14274,6227,1523,387
VIC,Irymple,9429,2582,5656,8041,11018,19831,8063,1888,425
VIC,Merbein,8345,2385,5316,7486,10058,16460,7518,1839,422
VIC,Mildura,7289,2366,4624,6382,8613,14459,6381,1573,394
VIC,Mildura Region,7730,1516,4506,6684,9433,16495,6660,1671,406
VIC,Red Cliffs,7854,2098,4801,7015,9576,15781,7030,1751,413
VIC,Buloke,6715,1440,4156,6050,8167,13732,6022,1444,379
VIC,Gannawarra,7520,1507,4380,6487,9124,16089,6436,1596,397
VIC,Kerang,7594,2272,4825,6747,8927,15178,6721,1687,408
VIC,Robinvale,10215,2830,5971,8488,11753,22032,8453,1919,427
VIC,Swan Hill,8519,2785,5231,7316,10103,17150,7345,1806,421
VIC,Swan Hill Region,8303,1540,4900,7095,9900,18079,7045,1756,415
VIC,Echuca,6322,1753,3598,5146,7346,13760,5129,1061,328
VIC,Kyabram,6590,1594,3540,5336,7809,14664,5309,1155,340
VIC,Lockington - Gunbower,8297,1649,4834,7137,9773,18013,7269,1797,418
VIC,Rochester,6245,1701,3514,5081,7291,13621,5069,1031,325
VIC,Rushworth,6405,1220,3642,5541,7799,13757,5526,1247,349
VIC,Cobram,7203,1841,3804,5504,7888,16966,5492,1232,347
VIC,Moira,6779,1144,3537,5567,8098,15389,5569,1265,352
VIC,Numurkah,7296,1823,4138,6055,8535,15917,6048,1464,383
VIC,Yarrawonga,5447,1364,3146,4545,6313,11869,4526,760,285
VIC,Mooroopna,4273,1036,2290,3425,4885,9723,3410,173,88
VIC,Shepparton - North,5123,1351,2758,4096,5915,11487,4083,503,215
VIC,Shepparton - South,6197,1522,3236,4814,7002,14409,4793,894,307
VIC,Shepparton Region - East,8410,2164,5064,7173,9999,17620,7137,1776,417
VIC,Shepparton Region - West,7324,1446,3596,5730,8651,17165,5704,1318,361
VIC,Glenelg (Vic.),5918,1136,3499,5355,7404,12190,5335,1165,342
VIC,Hamilton (Vic.),5425,1337,3011,4513,6464,11797,4478,722,276
VIC,Portland,4154,1017,2335,3473,4961,8981,3458,189,97
VIC,Southern Grampians,6853,1304,4101,6164,8475,14172,6178,1511,385
VIC,Camperdown,6819,2021,4276,5983,7997,13818,5970,1426,374
VIC,Colac,5201,1393,2906,4317,6201,11187,4272,611,247
VIC,Colac Region,7037,1495,4300,6305,8668,14407,6283,1542,391
VIC,Corangamite - North,7559,1665,4449,6513,9007,16148,6541,1637,402
VIC,Corangamite - South,7261,1711,4461,6425,8832,14877,6388,1576,395
VIC,Moyne - East,7264,1301,4086,6299,8884,15727,6259,1534,389
VIC,Moyne - West,6100,1293,3450,5332,7536,12880,5312,1156,341
VIC,Otway,3809,591,1693,2906,4660,9190,2882,26,15
VIC,Warrnambool - North,4473,1265,2584,3786,5286,9441,3773,351,174
VIC,Warrnambool - South,4489,1278,2654,3818,5287,9403,3799,362,177
QLD,Alexandra Hills,7196,2898,5048,6669,8616,12741,6658,1670,395
QLD,Belmont - Gumdale,9453,2987,5589,7669,10671,20323,7631,1856,468
QLD,Birkdale,7289,2462,4737,6566,8813,13858,6520,1627,380
QLD,Capalaba,7008,2408,4478,6225,8494,13438,6231,1525,330
QLD,Thorneside,5616,1985,3626,4808,6711,10934,4770,881,112
QLD,Wellington Point,7635,2707,5009,6946,9358,14145,6905,1728,422
QLD,Cleveland,6386,1761,3628,5269,7508,13759,5269,1128,192
QLD,Ormiston,7282,1993,4097,6193,9018,15091,6111,1490,316
QLD,Redland Bay,7636,2643,5198,7019,9161,14153,6993,1745,424
QLD,Redland Islands,3998,609,2221,3483,5013,8657,3461,191,10
QLD,Sheldon - Mount Cotton,8379,2466,5448,7529,10018,16411,7514,1837,460
QLD,Thornlands,8126,2547,5311,7445,9917,15399,7415,1822,451
QLD,Victoria Point,6757,2333,4342,6119,8272,12712,6098,1486,314
QLD,Brisbane Port - Lytton,4269,,,,,,2557,11,1
QLD,Manly - Lota,5944,1924,3716,5221,7114,11738,5247,1123,189
QLD,Manly West,6302,2080,3985,5554,7501,12381,5493,1234,223
QLD,Murarrie,6769,2434,4388,6059,8049,12898,6033,1452,302
QLD,Tingalpa,6419,2334,4136,5531,7220,12864,5519,1246,228
QLD,Wakerley,7404,2622,5014,6720,8797,13852,6724,1688,404
QLD,Wynnum,5266,1481,3104,4478,6313,10949,4450,708,75
QLD,Wynnum West - Hemmant,5856,2013,3916,5385,7089,10871,5382,1182,210
QLD,Bald Hills,6605,2852,4582,6007,7735,11850,5986,1431,293
QLD,Bridgeman Downs,9428,2391,5704,8307,11321,19395,8278,1909,494
QLD,Carseldine,6503,2413,4142,5711,7787,12454,5670,1306,250
QLD,Everton Park,5279,1563,3270,4651,6479,10425,4606,800,94
QLD,McDowall,7820,3095,5375,7173,9325,14134,7204,1789,440
QLD,Aspley,6463,2219,4091,5712,7739,12555,5702,1316,254
QLD,Chermside,3847,831,2221,3364,4774,8043,3356,149,7
QLD,Chermside West,6544,2563,4373,5877,7773,12121,5895,1398,283
QLD,Geebung,5771,2006,3675,5146,7002,11011,5176,1083,175
QLD,Kedron - Gordon Park,4670,1097,2629,3985,5720,9913,3949,446,33
QLD,Stafford,4412,1080,2531,3781,5410,9252,3759,343,22
QLD,Stafford Heights,5760,2011,3657,5089,6917,11113,5084,1040,161
QLD,Wavell Heights,5530,1716,3394,4845,6686,11001,4848,922,121
QLD,Boondall,5848,2076,3808,5263,7048,11035,5244,1117,186
QLD,Brisbane Airport,7364,,,,,,6445,1600,367
QLD,Eagle Farm - Pinkenba,5327,1352,3490,4484,6090,11067,4536,764,84
QLD,Northgate - Virginia,4975,1215,2815,4216,5964,10655,4171,555,45
QLD,Nudgee - Banyo,6152,2190,4106,5562,7351,11541,5553,1258,234
QLD,Nundah,3985,926,2310,3440,4825,8418,3442,183,8
QLD,Bracken Ridge,6393,2465,4245,5860,7773,11616,5846,1374,273
QLD,Brighton (Qld),5261,1707,3345,4669,6319,10263,4662,836,99
QLD,Deagon,4768,1465,2876,4311,5884,9302,4324,641,60
QLD,Sandgate - Shorncliffe,4748,1212,2633,3929,5713,10244,3899,419,28
QLD,Taigum - Fitzgibbon,4814,1555,3091,4270,5755,9398,4264,606,53
QLD,Zillmere,4794,1434,3088,4378,5876,9189,4400,689,72
QLD,Camp Hill,6145,1786,3755,5467,7499,12212,5466,1224,220
QLD,Cannon Hill,6505,2207,4333,5866,7812,12296,5839,1369,270
QLD,Carina,5732,1866,3831,5277,6899,10782,5298,1147,194
QLD,Carina Heights,5689,1714,3701,5063,6774,11188,5020,1008,151
QLD,Carindale,8842,3310,5816,7954,10543,16581,7981,1884,480
QLD,Annerley,4379,947,2467,3743,5279,9455,3741,330,20
QLD,Coorparoo,4964,1090,2753,4055,5759,11161,4048,486,37
QLD,Fairfield - Dutton Park,4635,818,2425,3804,5511,10606,3804,366,23
QLD,Greenslopes,4372,944,2532,3756,5241,9381,3732,326,19
QLD,Holland Park,5446,1533,3219,4681,6558,11231,4640,820,97
QLD,Holland Park West,5567,1628,3398,4915,6699,11195,4889,944,130
QLD,Woolloongabba,4234,1039,2356,3466,4922,9389,3444,184,9
QLD,Yeronga,5536,1170,2858,4365,6336,12945,4365,664,66
QLD,Eight Mile Plains,7290,2991,5055,6528,8362,13505,6528,1631,382
QLD,Macgregor (Qld),7062,2655,4740,6380,8358,13160,6376,1569,356
QLD,Mansfield (Qld),6470,2315,4342,5898,7748,12035,5855,1379,274
QLD,Mount Gravatt,5644,1795,3656,5120,6782,10865,5127,1059,168
QLD,Rochedale - Burbank,9764,1894,5946,8669,11714,20551,8600,1931,505
QLD,Upper Mount Gravatt,5662,1733,3432,4970,6793,11372,4992,993,145
QLD,Wishart,7146,2903,4935,6506,8368,13020,6503,1621,377
